Customer_id,Villa_id,dates
1322,38,11/05/18
1323,26,04/05/18
1329,268,06/07/18
1334,377,03/08/18
1336,125,18/05/18
1339,358,27/07/18
1341,194,24/08/18
1347,333,22/06/18
1349,314,20/07/18
1350,310,05/10/18
1351,220,07/09/18
1353,299,12/10/18
1354,173,28/09/18
1357,39,17/08/18
1359,255,14/09/18
1364,229,11/05/18
1366,285,01/06/18
1367,205,31/08/18
1369,13,20/07/18
1370,173,20/07/18
1374,43,06/07/18
1376,114,24/08/18
1379,51,29/06/18
1382,243,06/07/18
1389,382,06/07/18
1393,309,13/07/18
1396,278,05/10/18
1397,359,31/08/18
1398,147,08/06/18
1406,3,05/10/18
1410,328,22/06/18
1412,168,27/07/18
1414,48,17/08/18
1415,243,15/06/18
1416,278,24/08/18
1418,371,11/05/18
1419,365,17/08/18
1420,209,17/08/18
1430,161,14/09/18
1433,28,15/06/18
1435,112,28/09/18
1439,172,03/08/18
1445,27,05/10/18
1446,138,17/08/18
1447,121,01/06/18
1450,269,18/05/18
1453,353,18/05/18
1458,195,15/06/18
1459,359,11/05/18
1462,181,17/08/18
1464,163,04/05/18
1468,351,28/09/18
1469,150,22/06/18
1471,8,12/10/18
1474,168,04/05/18
1479,321,31/08/18
1482,2,11/05/18
1483,339,31/08/18
1486,9,27/07/18
1490,340,21/09/18
1491,370,15/06/18
1494,360,13/07/18
1496,387,08/06/18
1499,136,18/05/18
1500,233,27/07/18
1505,327,18/05/18
1507,338,20/07/18
1508,369,20/07/18
1510,116,21/09/18
1514,187,20/07/18
1516,126,24/08/18
1517,217,25/05/18
1522,132,20/07/18
1525,177,10/08/18
1526,388,05/10/18
1529,54,24/08/18
1535,349,21/09/18
1536,305,13/07/18
1544,160,25/05/18
1551,370,17/08/18
1553,141,17/08/18
1554,337,01/06/18
1555,85,03/08/18
1556,73,22/06/18
1557,255,27/07/18
1563,244,27/07/18
1565,40,13/07/18
1566,73,13/07/18
1567,359,03/08/18
1569,212,21/09/18
1571,29,10/08/18
1573,270,22/06/18
1574,45,08/06/18
1577,95,01/06/18
1583,157,13/07/18
1588,190,14/09/18
1592,44,11/05/18
1593,7,29/06/18
1595,37,04/05/18
1600,355,29/06/18
1603,310,14/09/18
1610,145,03/08/18
1612,118,22/06/18
1619,372,08/06/18
1620,252,04/05/18
1621,32,20/07/18
1626,179,03/08/18
1627,155,24/08/18
1628,88,20/07/18
1636,29,01/06/18
1639,253,10/08/18
1641,167,11/05/18
1647,57,21/09/18
1650,372,03/08/18
1652,285,18/05/18
1659,355,24/08/18
1666,235,08/06/18
1669,78,29/06/18
1670,320,01/06/18
1671,63,03/08/18
1675,24,14/09/18
1679,66,12/10/18
1685,357,15/06/18
1686,242,17/08/18
1689,237,18/05/18
1695,127,21/09/18
