Customer_id,Villa_id,dates
1321,45,25/10/19
1326,96,13/09/19
1330,161,06/09/19
1332,210,02/08/19
1338,347,24/05/19
1339,259,24/05/19
1343,231,23/08/19
1344,343,11/10/19
1354,184,30/08/19
1357,267,06/09/19
1358,107,23/08/19
1363,274,28/06/19
1368,167,02/08/19
1376,219,24/05/19
1379,18,04/10/19
1380,378,18/10/19
1383,331,31/05/19
1384,73,12/07/19
1385,285,19/07/19
1387,54,17/05/19
1388,40,24/05/19
1389,324,05/07/19
1392,109,27/09/19
1394,102,23/08/19
1395,322,04/10/19
1398,123,17/05/19
1401,366,31/05/19
1402,239,23/08/19
1403,317,02/08/19
1405,324,19/07/19
1407,72,21/06/19
1408,239,19/07/19
1412,171,13/09/19
1413,342,31/05/19
1414,69,14/06/19
1418,340,20/09/19
1420,198,12/07/19
1421,108,21/06/19
1426,163,21/06/19
1430,34,14/06/19
1433,182,24/05/19
1441,305,17/05/19
1442,318,09/08/19
1444,113,23/08/19
1449,35,14/06/19
1451,151,27/09/19
1463,92,07/06/19
1465,244,27/09/19
1474,102,05/07/19
1484,327,06/09/19
1491,83,02/08/19
1495,233,12/07/19
1497,153,20/09/19
1498,46,11/10/19
1500,349,09/08/19
1502,157,27/09/19
1507,213,14/06/19
1510,308,23/08/19
1511,148,25/10/19
1514,77,27/09/19
1515,151,17/05/19
1517,315,02/08/19
1519,105,26/07/19
1520,210,09/08/19
1521,312,23/08/19
1526,113,25/10/19
1527,109,28/06/19
1528,346,11/10/19
1530,380,13/09/19
1531,362,31/05/19
1544,183,18/10/19
1548,174,02/08/19
1550,296,16/08/19
1556,239,18/10/19
1557,308,16/08/19
1559,182,06/09/19
1560,174,06/09/19
1567,258,27/09/19
1569,295,25/10/19
1576,27,30/08/19
1583,4,17/05/19
1584,184,06/09/19
1585,346,12/07/19
1586,67,05/07/19
1587,339,14/06/19
1594,57,17/05/19
1597,190,25/10/19
1601,127,05/07/19
1603,283,14/06/19
1604,274,19/07/19
